RVA,VAB,FL
23083,27889,33865
23002,27817,33890
22538,27810,33834
22501,27808,33873
22535,27806,33621
22514,27860,33548
22427,27865,33592
22580,27814,33567
22546,27821,33616
23030,27983,33605
23836,27805,33559
23120,27924,33606
23838,27957,33602
23114,27849,33565
23237,27847,33637
23236,27872,33609
23113,27921,33527
23235,27976,33603
23831,27974,33549
23832,23322,33635
23234,23320,33534
23112,23323,33634
23834,23321,33566
23894,23324,33607
23850,23325,33572
23840,27932,33618
23833,27980,33629
23872,27958,33613
23885,27939,33584
23841,27929,33598
22504,27950,33625
22476,27973,33510
22438,27927,33569
22437,27966,33558
22436,27947,33611
22454,27916,33596
22560,27917,33563
23129,27923,33573
23039,27941,33547
23065,27964,33626
23153,27965,33570
23038,27956,33594
23102,27948,33604
23063,27949,33556
23103,27954,33619
23879,27959,33624
23867,27981,33612
23847,27953,33617
23047,27978,33610
23069,23851,33614
23146,27937,33615
23015,27935,33579
23192,27926,33511
23005,27979,33578
23116,27938,33647
23111,27946,34215
23230,23061,34217
23075,23072,34201
23150,23062,34251
23294,27870,34222
23227,27823,34210
23238,27850,34211
23233,27874,34212
23228,27844,34207
23229,27839,34243
23231,27890,34202
23060,27843,34205
23059,23666,34209
23223,23669,34219
23860,23661,34208
23161,23663,34203
23108,23664,34221
23091,23651,33576
23085,27910,33540
23023,27855,34637
23126,27818,34690
23110,27986,34669
23177,27922,34610
23148,27942,33523
23156,27824,33525
22448,27885,33542
22485,27826,33541
23106,27875,34691
23086,23430,34654
23181,23314,34652
23009,23487,33545
22480,23898,33544
22576,23315,34653
22578,23188,34639
22482,23185,34667
22503,23168,34638
23024,27892,33543
22942,27871,34668
23117,27846,34655
23093,27857,33786
23032,27840,33785
23079,23109,33762
23180,23035,33715
23070,23128,33767
23092,23138,34688
23176,23050,33776
23169,23076,33765
23043,23056,33778
23071,23119,33706
23175,23025,33708
23149,23021,33760
23011,23068,33716
23089,23163,33704
23124,23130,33701
23140,23125,33773
23141,23045,33714
22432,23608,33774
22511,23602,33761
22435,23606,33759
22539,23601,33711
22473,23607,33777
23805,23605,33763
23803,23604,34695
23139,23603,34685
23830,23518,33782
23801,23503,33707
23842,23513,33772
23875,23505,33770
23232,23502,33703
23298,23504,34677
23219,23508,33709
23221,23509,33712
23226,23523,33705
23220,23510,33781
23222,23507,33755
23224,23517,34689
23225,27909,33771
28347,27944,34684
22460,27919,33764
28338,23662,33702
22572,23703,33756
28345,23701,33713
28379,23704,33710
22534,23707,34683
22553,23702,34698
22551,23708,33867
22408,23709,33849
22407,23837,33827
22488,23866,33839
22469,23829,33838
22520,23878,33841
22443,23827,33850
,23874,33843
,23844,33859
,23828,33853
,23434,33868
,23435,33815
,23437,33898
,23438,33812
,23432,33896
,23433,33860
,23436,33805
,27030,33803
,28621,33811
,27017,33830
,27041,33801
,28676,33897
,23883,33809
,27024,33884
,27007,33823
,28683,33813
,23881,33881
,27047,33880
,23846,33837
,23839,33844
,23890,34759
,23888,33810
,23882,34289
,23897,34228
,27925,34242
,23464,34229
,23462,34291
,23456,34236
,23454,34239
,23452,34235
,23455,34237
,23451,34285
,23453,34288
,23457,34241
,23521,34292
,23460,34223
,23459,34240
,23461,34234
,24210,34233
,24202,34275
,24211,34286
,27962,34287
,24340,34238
,24361,34231
,27970,34232
,24236,34293
,24212,33946
,27928,33953
,24327,33955
,24270,33980
,23693,33947
,23692,33954
,23665,33982
,23696,33981
,23690,34224
,23691,33983
,,33948
,,33950
,,33952
,,34141
,,34102
,,34103
,,34145
,,34108
,,34105
,,34117
,,34114
,,34110
,,34113
,,34104
,,34112
,,34109
,,34142
,,34116
,,34119
,,34120
,,34269
,,34266
,,33471
,,33935
,,33440
,,33960
,,33857
,,33876
,,33875
,,33872
,,33852
,,33870
,,33825
,,33956
,,33922
,,33957
,,33920
,,33931
,,33973
,,33966
,,34134
,,33972
,,33974
,,33912
,,33976
,,33901
,,33903
,,33907
,,33936
,,33916
,,33967
,,33917
,,33991
,,33971
,,33919
,,33928
,,33913
,,33904
,,33990
,,33993
,,33905
,,33909
,,33908
,,34135
,,33914